,Team,Season,GP,W,L,T,OT,P,Pen,Minor,Major,Misc,G Misc,Match,Bench,PIM,PIM/GP,
1,Carolina Hurricanes,2015-2016,31,12,14,0,5,29,93,85,6,0,0,0,2,206,6:38,
2,Buffalo Sabres,2015-2016,33,14,16,0,3,31,95,83,8,0,1,0,3,222,6:43,
3,Chicago Blackhawks,2015-2016,33,18,11,0,4,40,106,93,7,0,0,0,6,235,7:07,
4,Minnesota Wild,2015-2016,30,17,7,0,6,40,100,89,7,0,0,0,4,223,7:25,
5,Edmonton Oilers,2015-2016,33,14,17,0,2,30,116,106,7,0,0,0,3,253,7:39,
6,Toronto Maple Leafs,2015-2016,30,10,13,0,7,27,115,106,2,0,0,0,7,236,7:51,
7,Calgary Flames,2015-2016,31,15,14,0,2,32,105,92,9,3,0,0,1,263,8:29,
8,Detroit Red Wings,2015-2016,31,16,9,0,6,38,122,112,3,1,0,0,6,263,8:29,
9,Pittsburgh Penguins,2015-2016,30,15,12,0,3,33,123,118,3,0,0,0,2,255,8:30,
10,Tampa Bay Lightning,2015-2016,32,16,13,0,3,35,120,108,6,1,1,0,4,274,8:33,
11,Washington Capitals,2015-2016,30,22,6,0,2,46,103,91,9,1,1,1,0,257,8:33,
12,Montr‚al Canadiens,2015-2016,33,20,10,0,3,43,123,112,4,0,1,2,4,284,8:36,
13,New York Islanders,2015-2016,33,18,10,0,5,41,126,109,8,1,1,0,7,292,8:50,
14,Dallas Stars,2015-2016,32,23,7,0,2,48,121,104,10,1,1,0,5,288,9:00,
15,New York Rangers,2015-2016,33,19,10,0,4,42,132,125,5,2,0,0,0,297,9:00,
16,Florida Panthers,2015-2016,32,16,12,0,4,36,135,126,5,2,0,0,2,301,9:24,
17,San Jose Sharks,2015-2016,31,16,14,0,1,33,121,99,14,0,1,0,7,294,9:29,
18,Colorado Avalanche,2015-2016,33,16,16,0,1,33,128,110,12,1,1,1,3,316,9:34,
19,St. Louis Blues,2015-2016,33,19,10,0,4,42,142,128,12,1,0,0,1,330,10:00,
20,Los Angeles Kings,2015-2016,31,20,9,0,2,42,134,120,10,0,1,1,2,316,10:11,
21,Arizona Coyotes,2015-2016,31,14,15,0,2,30,137,126,5,4,1,0,1,331,10:40,
22,Ottawa Senators,2015-2016,32,16,11,0,5,37,139,123,11,3,1,0,1,343,10:43,
23,New Jersey Devils,2015-2016,32,16,12,0,4,36,143,124,13,2,2,0,2,361,11:16,
24,Anaheim Ducks,2015-2016,30,11,14,0,5,27,137,116,15,1,2,0,3,345,11:30,
25,Vancouver Canucks,2015-2016,33,11,14,0,8,30,148,126,13,6,0,0,3,387,11:43,
26,Nashville Predators,2015-2016,32,15,11,0,6,36,142,118,14,5,2,0,3,382,11:56,
27,Philadelphia Flyers,2015-2016,32,14,12,0,6,34,147,124,15,5,0,0,3,385,12:01,
28,Boston Bruins,2015-2016,30,17,9,0,4,38,144,121,13,3,3,0,4,377,12:33,
29,Columbus Blue Jackets,2015-2016,34,12,19,0,3,27,166,137,20,4,1,0,4,434,12:45,
30,Winnipeg Jets,2015-2016,31,14,15,0,2,30,160,140,12,4,1,0,3,404,13:01,
