Player,Team Name,Penalty,Date,Opponent,H/A,Refs
Aaron Ekblad,Florida Panthers,Delaying Game-Puck over glass,10/15/2015,Buffalo Sabres,Home,"Chris Rooney, Trevor Hanson"
Aaron Ekblad,Florida Panthers,Interference,10/27/2015,Colorado Avalanche,Home,"Eric Furlatt, Steve Kozari"
Aaron Ekblad,Florida Panthers,Hooking,11/5/2015,SJ Sharks,Away,"Ian Walsh, Tom Chmielewski"
Aaron Ekblad,Florida Panthers,Holding,11/19/2015,Anaheim Ducks,Home,"Francis Charron, TJ Luxmore"
Aaron Ekblad,Florida Panthers,Hooking,11/23/2015,LA Kings,Home,"Dave Jackson, Greg Kimmerly"
Aaron Ekblad,Florida Panthers,Tripping,12/12/2015,Boston Bruins,Away,"Kelly Sutherland, Ghislain Hebert"
Aaron Ekblad,Florida Panthers,Roughing,12/12/2015,Boston Bruins,Away,"Kelly Sutherland, Ghislain Hebert"
Aaron Ekblad,Florida Panthers,Interference,12/17/2015,New Jersey Devils,Away,"Tim Peel, Marc Joannette"
Adam Clendening,Pittsburgh Penguins,Interference,10/15/2015,Ottawa Senators,Home,"Dan O'Halloran, Evgeny Romasko"
Adam Clendening,Pittsburgh Penguins,Holding,10/15/2015,Ottawa Senators,Home,"Dan O'Halloran, Evgeny Romasko"
Adam Clendening,Pittsburgh Penguins,Holding,11/17/2015,Minnesota Wild,Home,"TJ Luxmore, Francois St. Laurent"
Adam Clendening,Pittsburgh Penguins,Slashing,11/28/2015,Edmonton Oilers,Home,"Brian Pochmara, Tom Kowal"
Adam Cracknell,Vancouver Canucks,Hi-sticking,11/4/2015,Pittsburgh Penguins,Home,"Chris Rooney, Jon McIsaac"
Adam Cracknell,Vancouver Canucks,Tripping,11/12/2015,Ottawa Senators,Away,"Frederick L'Ecuyer, Eric Furlatt"
Adam Henrique,New Jersey Devils,Hooking,10/10/2015,Washington Capitals,Away,"Jean Hebert, Brad Watson"
Adam Henrique,New Jersey Devils,Slashing,10/24/2015,Buffalo Sabres,Away,"Greg Kimmerly, Tom Kowal"
Adam Henrique,New Jersey Devils,Fighting (maj),11/6/2015,Chicago Blackhawks,Home,"TJ Luxmore, Chris Lee"
Adam Henrique,New Jersey Devils,Hooking,12/15/2015,Buffalo Sabres,Away,"Rob Martell, Kevin Pollock"
Adam Larsson,New Jersey Devils,Roughing,10/24/2015,Buffalo Sabres,Away,"Greg Kimmerly, Tom Kowal"
Adam Larsson,New Jersey Devils,Cross checking,11/6/2015,Chicago Blackhawks,Home,"TJ Luxmore, Chris Lee"
Adam Larsson,New Jersey Devils,Interference,11/8/2015,Vancouver Canucks,Home,"Francis Charron, Kyle Rehman"
Adam Larsson,New Jersey Devils,Interference (maj),11/8/2015,Vancouver Canucks,Home,"Francis Charron, Kyle Rehman"
Adam Larsson,New Jersey Devils,Game misconduct,11/8/2015,Vancouver Canucks,Home,"Francis Charron, Kyle Rehman"
Adam Larsson,New Jersey Devils,Holding,11/22/2015,Vancouver Canucks,Away,"Marc Joannette, Steve Kozari"
Adam Larsson,New Jersey Devils,Holding,12/3/2015,Carolina Hurricanes,Away,"Francis Charron, TJ Luxmore"
Adam Larsson,New Jersey Devils,Misconduct (10 min),12/13/2015,NY Islanders,Away,"Chris Rooney, Ghislain Hebert"
Adam Larsson,New Jersey Devils,Instigator,12/13/2015,NY Islanders,Away,"Chris Rooney, Ghislain Hebert"
Adam Larsson,New Jersey Devils,Fighting (maj),12/13/2015,NY Islanders,Away,"Chris Rooney, Ghislain Hebert"
Adam Larsson,New Jersey Devils,Hooking,12/17/2015,Florida Panthers,Home,"Tim Peel, Marc Joannette"
Adam Lowry,Winnipeg Jets,Tripping,10/8/2015,Boston Bruins,Away,"Greg Kimmerly, Francois St. Laurent"
Adam Lowry,Winnipeg Jets,Roughing,10/8/2015,Boston Bruins,Away,"Greg Kimmerly, Francois St. Laurent"
Adam Lowry,Winnipeg Jets,Fighting (maj),11/14/2015,Nashville Predators,Away,"Wes McCauley, Dean Morton"
Adam Lowry,Winnipeg Jets,Interference,11/16/2015,St Louis Blues,Away,"Kevin Pollock, Mark Lemelin"
Adam Lowry,Winnipeg Jets,Holding,11/21/2015,Arizona Coyotes,Home,"Brad Watson, Brad Meier"
Adam Lowry,Winnipeg Jets,Fighting (maj),11/28/2015,Colorado Avalanche,Away,"Ghislain Hebert, Ian Walsh"
Adam Lowry,Winnipeg Jets,Holding,12/11/2015,Chicago Blackhawks,Away,"Frederick L'Ecuyer, Graham Skilliter"
Adam Lowry,Winnipeg Jets,Holding,12/15/2015,St Louis Blues,Home,"Brian Pochmara, Tom Kowal"
Adam McQuaid,Boston Bruins,Roughing,10/10/2015,Montreal Canadiens,Home,"Dan O'Rourke, Mark Lemelin"
Adam McQuaid,Boston Bruins,Roughing,10/17/2015,Arizona Coyotes,Away,"Tim Peel, Kyle Rehman"
Adam McQuaid,Boston Bruins,Tripping,10/17/2015,Arizona Coyotes,Away,"Tim Peel, Kyle Rehman"
Adam McQuaid,Boston Bruins,Fighting (maj),10/23/2015,NY Islanders,Away,"Kelly Sutherland, Kevin Pollock"
Adam McQuaid,Boston Bruins,Interference,10/27/2015,Arizona Coyotes,Home,"Wes McCauley, Francis Charron"
Adam McQuaid,Boston Bruins,Delaying Game-Puck over glass,10/30/2015,Florida Panthers,Away,"Brad Watson, Eric Furlatt"
Adam McQuaid,Boston Bruins,Roughing,11/8/2015,NY Islanders,Away,"Gord Dwyer, Brad Meier"
Adam McQuaid,Boston Bruins,Boarding,11/14/2015,Detroit Red Wings,Home,"Frederick L'Ecuyer, Tom Kowal"
Adam McQuaid,Boston Bruins,Interference,11/17/2015,SJ Sharks,Home,"Francis Charron, Rob Martell"
Adam McQuaid,Boston Bruins,Kneeing,11/23/2015,Toronto Maple Leafs,Away,"Jean Hebert, Graham Skilliter"
Adam McQuaid,Boston Bruins,Hooking,11/23/2015,Toronto Maple Leafs,Away,"Jean Hebert, Graham Skilliter"
Adam McQuaid,Boston Bruins,Roughing,11/23/2015,Toronto Maple Leafs,Away,"Jean Hebert, Graham Skilliter"
Adam McQuaid,Boston Bruins,Delaying Game-Puck over glass,11/25/2015,Detroit Red Wings,Away,"Dan O'Halloran, Brian Pochmara"
Adam McQuaid,Boston Bruins,Hooking,12/14/2015,Edmonton Oilers,Home,"Eric Furlatt, Chris Lee"
Adam McQuaid,Boston Bruins,Hooking,12/16/2015,Pittsburgh Penguins,Home,"Justin St. Pierre, Kevin Pollock"
Adam Pardy,Winnipeg Jets,Interference,10/13/2015,NY Rangers,Away,"Jean Hebert, Trevor Hanson"
Adam Pardy,Winnipeg Jets,Holding,11/16/2015,St Louis Blues,Away,"Kevin Pollock, Mark Lemelin"
Adam Pardy,Winnipeg Jets,Roughing,11/18/2015,Vancouver Canucks,Home,"Chris Rooney, Tim Peel"
Al Montoya,Florida Panthers,Interference,12/10/2015,Washington Capitals,Home,"Francis Charron, Steve Kozari"
