Yannick Weber | Vancouver Canucks | Interference | 02/26/2015 | Buffalo Sabres | Away | Marc Joannette, Rob Martell
Brandon Gormley | Arizona Coyotes | Holding | 02/26/2015 | NY Rangers | Away | Greg Kimmerly, Steve Kozari
John Moore | NY Rangers | Fighting (maj) | 02/26/2015 | Arizona Coyotes | Home | Greg Kimmerly, Steve Kozari
Kyle Chipchura | Arizona Coyotes | Fighting (maj) | 02/26/2015 | NY Rangers | Away | Greg Kimmerly, Steve Kozari
Martin St. Louis | NY Rangers | Tripping | 02/26/2015 | Arizona Coyotes | Home | Greg Kimmerly, Steve Kozari
Kevin Klein | NY Rangers | Delaying Game-Puck over glass | 02/26/2015 | Arizona Coyotes | Home | Greg Kimmerly, Steve Kozari
Kevin Klein | NY Rangers | Hi stick - double minor | 02/26/2015 | Arizona Coyotes | Home | Greg Kimmerly, Steve Kozari
Michael Stone | Arizona Coyotes | Holding | 02/26/2015 | NY Rangers | Away | Greg Kimmerly, Steve Kozari
Mike Smith | Arizona Coyotes | Unsportsmanlike conduct | 02/26/2015 | NY Rangers | Away | Greg Kimmerly, Steve Kozari
Martin St. Louis | NY Rangers | Hooking | 02/26/2015 | Arizona Coyotes | Home | Greg Kimmerly, Steve Kozari
Dale Weise | Montreal Canadiens | Interference | 02/26/2015 | Columbus Blue Jackets | Away | Jean Hebert, Kevin Pollock
Brendan Gallagher | Montreal Canadiens | Tripping | 02/26/2015 | Columbus Blue Jackets | Away | Jean Hebert, Kevin Pollock
Matt Calvert | Columbus Blue Jackets | Tripping | 02/26/2015 | Montreal Canadiens | Home | Jean Hebert, Kevin Pollock
Scott Hartnell | Columbus Blue Jackets | Interference | 02/26/2015 | Montreal Canadiens | Home | Jean Hebert, Kevin Pollock
Mark Streit | Philadelphia Flyers | Tripping | 02/26/2015 | Toronto Maple Leafs | Away | Tom Kowal, Dean Morton
Tyler Bozak | Toronto Maple Leafs | Holding the stick | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Claude Giroux | Philadelphia Flyers | Tripping | 02/26/2015 | Toronto Maple Leafs | Away | Tom Kowal, Dean Morton
Stephane Robidas | Toronto Maple Leafs | Holding | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Nazem Kadri | Toronto Maple Leafs | Hooking | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Wayne Simmonds | Philadelphia Flyers | Unsportsmanlike conduct | 02/26/2015 | Toronto Maple Leafs | Away | Tom Kowal, Dean Morton
Joffrey Lupul | Toronto Maple Leafs | Holding the stick | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Jakub Voracek | Philadelphia Flyers | Roughing | 02/26/2015 | Toronto Maple Leafs | Away | Tom Kowal, Dean Morton
Peter Holland | Toronto Maple Leafs | Roughing | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Peter Holland | Toronto Maple Leafs | Slashing | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Olli Jokinen | Toronto Maple Leafs | Tripping | 02/26/2015 | Philadelphia Flyers | Home | Tom Kowal, Dean Morton
Michael Raffl | Philadelphia Flyers | Hooking | 02/26/2015 | Toronto Maple Leafs | Away | Tom Kowal, Dean Morton
Tim Erixon | Chicago Blackhawks | Interference | 02/26/2015 | Florida Panthers | Away | Mike Leggo, Brad Meier
Brad Boyes | Florida Panthers | Hooking | 02/26/2015 | Chicago Blackhawks | Home | Mike Leggo, Brad Meier
Dmitry Kulikov | Florida Panthers | Holding | 02/26/2015 | Chicago Blackhawks | Home | Mike Leggo, Brad Meier
Jonathan Huberdeau | Florida Panthers | Tripping | 02/26/2015 | Chicago Blackhawks | Home | Mike Leggo, Brad Meier
Kris Versteeg | Chicago Blackhawks | Embellishment | 02/26/2015 | Florida Panthers | Away | Mike Leggo, Brad Meier
Vincent Trocheck | Florida Panthers | Holding | 02/26/2015 | Chicago Blackhawks | Home | Mike Leggo, Brad Meier
Brad Boyes | Florida Panthers | Interference on goalkeeper | 02/26/2015 | Chicago Blackhawks | Home | Mike Leggo, Brad Meier
Petteri Lindbohm | St Louis Blues | Hooking | 02/26/2015 | Winnipeg Jets | Away | Wes McCauley, Graham Skilliter
Eric O'Dell | Winnipeg Jets | Holding | 02/26/2015 | St Louis Blues | Home | Wes McCauley, Graham Skilliter
David Backes | St Louis Blues | Illegal Check To Head | 02/26/2015 | Winnipeg Jets | Away | Wes McCauley, Graham Skilliter
Mark Scheifele | Winnipeg Jets | Tripping | 02/26/2015 | St Louis Blues | Home | Wes McCauley, Graham Skilliter
Mark Stuart | Winnipeg Jets | Roughing | 02/26/2015 | St Louis Blues | Home | Wes McCauley, Graham Skilliter
Mark Stuart | Winnipeg Jets | Roughing | 02/26/2015 | St Louis Blues | Home | Wes McCauley, Graham Skilliter
T.J. Oshie | St Louis Blues | Roughing | 02/26/2015 | Winnipeg Jets | Away | Wes McCauley, Graham Skilliter
T.J. Oshie | St Louis Blues | Roughing | 02/26/2015 | Winnipeg Jets | Away | Wes McCauley, Graham Skilliter
Matt Cullen | Nashville Predators | Tripping | 02/26/2015 | Minnesota Wild | Home | Ghislain Hebert, Eric Furlatt
Craig Smith | Nashville Predators | Tripping | 02/26/2015 | Minnesota Wild | Home | Ghislain Hebert, Eric Furlatt
Mikael Granlund | Minnesota Wild | Hooking | 02/26/2015 | Nashville Predators | Away | Ghislain Hebert, Eric Furlatt
Mikael Granlund | Minnesota Wild | Interference | 02/26/2015 | Nashville Predators | Away | Ghislain Hebert, Eric Furlatt
Brayden McNabb | LA Kings | Tripping | 02/26/2015 | Ottawa Senators | Home | Brad Watson, Ian Walsh
Patrick Wiercioch | Ottawa Senators | Tripping | 02/26/2015 | LA Kings | Away | Brad Watson, Ian Walsh
Eric Gryba | Ottawa Senators | Slashing | 02/26/2015 | LA Kings | Away | Brad Watson, Ian Walsh
Jamie McBain | LA Kings | Holding | 02/26/2015 | Ottawa Senators | Home | Brad Watson, Ian Walsh
Jamie McBain | LA Kings | Slashing | 02/26/2015 | Ottawa Senators | Home | Brad Watson, Ian Walsh
Bobby Ryan | Ottawa Senators | Tripping | 02/26/2015 | LA Kings | Away | Brad Watson, Ian Walsh
Mika Zibanejad | Ottawa Senators | Hooking | 02/26/2015 | LA Kings | Away | Brad Watson, Ian Walsh
Tommy Wingels | SJ Sharks | Roughing | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Tomas Jurco | Detroit Red Wings | Hooking | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
Darren Helm | Detroit Red Wings | Interference on goalkeeper | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
Brent Burns | SJ Sharks | Hooking | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Jonathan Ericsson | Detroit Red Wings | Interference | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
Matt Irwin | SJ Sharks | Roughing | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Joakim Andersson | Detroit Red Wings | Roughing | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
Justin Braun | SJ Sharks | Holding | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Matt Nieto | SJ Sharks | Hi stick - double minor | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Logan Couture | SJ Sharks | Tripping | 02/26/2015 | Detroit Red Wings | Home | Chris Rooney, Kyle Rehman
Brendan Smith | Detroit Red Wings | Hooking | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
Joakim Andersson | Detroit Red Wings | Hi-sticking | 02/26/2015 | SJ Sharks | Away | Chris Rooney, Kyle Rehman
