Derek MacKenzie | Florida Panthers | Slashing | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Marcus Foligno | Buffalo Sabres | Hi-sticking | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Josh Gorges | Buffalo Sabres | Hooking | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Aleksander Barkov | Florida Panthers | Hi-sticking | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Zemgus Girgensons | Buffalo Sabres | Roughing | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Scottie Upshall | Florida Panthers | Interference on goalkeeper | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Andrej Meszaros | Buffalo Sabres | Interference | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Jimmy Hayes | Florida Panthers | Tripping | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Nicolas Deslauriers | Buffalo Sabres | Interference | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Erik Gudbranson | Florida Panthers | Hooking | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Dave Bolland | Florida Panthers | Hi-sticking | 10/17/2014 | Buffalo Sabres | Away | Dan O'Halloran, Ghislain Hebert
Chris Stewart | Buffalo Sabres | Tripping | 10/17/2014 | Florida Panthers | Home | Dan O'Halloran, Ghislain Hebert
Mark Giordano | Calgary Flames | Delaying Game-Puck over glass | 10/17/2014 | Columbus Blue Jackets | Away | Brian Pochmara, Francois St. Laurent
Brian McGrattan | Calgary Flames | Interference | 10/17/2014 | Columbus Blue Jackets | Away | Brian Pochmara, Francois St. Laurent
Ladislav Smid | Calgary Flames | Fighting (maj) | 10/17/2014 | Columbus Blue Jackets | Away | Brian Pochmara, Francois St. Laurent
Corey Tropp | Columbus Blue Jackets | Fighting (maj) | 10/17/2014 | Calgary Flames | Home | Brian Pochmara, Francois St. Laurent
Jack Skille | Columbus Blue Jackets | Roughing | 10/17/2014 | Calgary Flames | Home | Brian Pochmara, Francois St. Laurent
Artem Anisimov | Columbus Blue Jackets | Hooking | 10/17/2014 | Calgary Flames | Home | Brian Pochmara, Francois St. Laurent
Lance Bouma | Calgary Flames | Tripping | 10/17/2014 | Columbus Blue Jackets | Away | Brian Pochmara, Francois St. Laurent
Michael Chaput | Columbus Blue Jackets | Delay Gm - Face-off Violation | 10/17/2014 | Calgary Flames | Home | Brian Pochmara, Francois St. Laurent
Matt Calvert | Columbus Blue Jackets | Charging | 10/17/2014 | Calgary Flames | Home | Brian Pochmara, Francois St. Laurent
Matt Stajan | Calgary Flames | Hi-sticking | 10/17/2014 | Columbus Blue Jackets | Away | Brian Pochmara, Francois St. Laurent
