Jordan Eberle | Edmonton Oilers | Tripping | 10/09/2014 | Calgary Flames | Home | Tim Peel, Ghislain Hebert
Benoit Pouliot | Edmonton Oilers | Slashing | 10/09/2014 | Calgary Flames | Home | Tim Peel, Ghislain Hebert
Jordan Eberle | Edmonton Oilers | Hi-sticking | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Taylor Hall | Edmonton Oilers | Hi stick - double minor | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Matt Hendricks | Edmonton Oilers | Delaying Game-Puck over glass | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Mark Fayne | Edmonton Oilers | Hooking | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Andrew Ference | Edmonton Oilers | Holding | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Benoit Pouliot | Edmonton Oilers | Interference | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Ryan Nugent-Hopkins | Edmonton Oilers | Fighting (maj) | 10/11/2014 | Vancouver Canucks | Away | Mike Leggo, Ghislain Hebert
Matt Hendricks | Edmonton Oilers | Fighting (maj) | 10/14/2014 | LA Kings | Away | Mike Leggo, Brad Watson
Benoit Pouliot | Edmonton Oilers | Cross checking | 10/14/2014 | LA Kings | Away | Mike Leggo, Brad Watson
Mark Arcobello | Edmonton Oilers | Hi-sticking | 10/14/2014 | LA Kings | Away | Mike Leggo, Brad Watson
Jesse Joensuu | Edmonton Oilers | Holding | 10/14/2014 | LA Kings | Away | Mike Leggo, Brad Watson
Nikita Nikitin | Edmonton Oilers | Hooking | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Matt Hendricks | Edmonton Oilers | Interference | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Nail Yakupov | Edmonton Oilers | Roughing | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Jordan Eberle | Edmonton Oilers | Hooking | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Jeff Petry | Edmonton Oilers | Cross checking | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Will Acton | Edmonton Oilers | Fighting (maj) | 10/15/2014 | Arizona Coyotes | Away | Eric Furlatt, Tom Chmielewski
Mark Arcobello | Edmonton Oilers | Hooking | 10/17/2014 | Vancouver Canucks | Home | Kyle Rehman, Steve Kozari
Jeff Petry | Edmonton Oilers | Boarding | 10/17/2014 | Vancouver Canucks | Home | Kyle Rehman, Steve Kozari
Jesse Joensuu | Edmonton Oilers | Hi-sticking | 10/17/2014 | Vancouver Canucks | Home | Kyle Rehman, Steve Kozari
Jesse Joensuu | Edmonton Oilers | Holding | 10/20/2014 | Tampa Bay Lightning | Home | Dave Jackson, Steve Kozari
Taylor Hall | Edmonton Oilers | Hi-sticking | 10/20/2014 | Tampa Bay Lightning | Home | Dave Jackson, Steve Kozari
Matt Hendricks | Edmonton Oilers | Roughing | 10/20/2014 | Tampa Bay Lightning | Home | Dave Jackson, Steve Kozari
Matt Hendricks | Edmonton Oilers | Tripping | 10/22/2014 | Washington Capitals | Home | Dave Jackson, Chris Lee
Matt Hendricks | Edmonton Oilers | Fighting (maj) | 10/22/2014 | Washington Capitals | Home | Dave Jackson, Chris Lee
Jesse Joensuu | Edmonton Oilers | Hi-sticking | 10/22/2014 | Washington Capitals | Home | Dave Jackson, Chris Lee
Justin Schultz | Edmonton Oilers | Holding | 10/24/2014 | Carolina Hurricanes | Home | Tom Kowal, Brad Meier
Jesse Joensuu | Edmonton Oilers | Slashing | 10/27/2014 | Montreal Canadiens | Home | Brad Watson, Graham Skilliter
Mark Fayne | Edmonton Oilers | Tripping | 10/27/2014 | Montreal Canadiens | Home | Brad Watson, Graham Skilliter
Jordan Eberle | Edmonton Oilers | Hi-sticking | 10/27/2014 | Montreal Canadiens | Home | Brad Watson, Graham Skilliter
Martin Marincin | Edmonton Oilers | Illegal stick | 10/27/2014 | Montreal Canadiens | Home | Brad Watson, Graham Skilliter
Andrew Ference | Edmonton Oilers | Hooking | 10/29/2014 | Nashville Predators | Home | Brian Pochmara, Ian Walsh
Jesse Joensuu | Edmonton Oilers | Hooking | 11/01/2014 | Vancouver Canucks | Home | Dennis LaRue, Francois St. Laurent
Jordan Eberle | Edmonton Oilers | Roughing | 11/01/2014 | Vancouver Canucks | Home | Dennis LaRue, Francois St. Laurent
Andrew Ference | Edmonton Oilers | Illegal Check To Head | 11/01/2014 | Vancouver Canucks | Home | Dennis LaRue, Francois St. Laurent
Matt Hendricks | Edmonton Oilers | Fighting (maj) | 11/04/2014 | Philadelphia Flyers | Away | Wes McCauley, Frederick L'Ecuyer
Matt Hendricks | Edmonton Oilers | Hooking | 11/06/2014 | Boston Bruins | Away | Jean Hebert, Tom Kowal
Nikita Nikitin | Edmonton Oilers | Hooking | 11/06/2014 | Boston Bruins | Away | Jean Hebert, Tom Kowal
Keith Aulie | Edmonton Oilers | Holding the stick | 11/06/2014 | Boston Bruins | Away | Jean Hebert, Tom Kowal
Nikita Nikitin | Edmonton Oilers | Tripping | 11/06/2014 | Boston Bruins | Away | Jean Hebert, Tom Kowal
Keith Aulie | Edmonton Oilers | Fighting (maj) | 11/07/2014 | Buffalo Sabres | Away | Chris Rooney, Marc Joannette
Keith Aulie | Edmonton Oilers | Holding | 11/07/2014 | Buffalo Sabres | Away | Chris Rooney, Marc Joannette
Jordan Eberle | Edmonton Oilers | Hooking | 11/09/2014 | NY Rangers | Away | Paul Devorski, Trevor Hanson
Nikita Nikitin | Edmonton Oilers | Tripping | 11/11/2014 | Nashville Predators | Away | Kelly Sutherland, Jean Hebert
Mark Arcobello | Edmonton Oilers | Slashing | 11/11/2014 | Nashville Predators | Away | Kelly Sutherland, Jean Hebert
Keith Aulie | Edmonton Oilers | Fighting (maj) | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Teddy Purcell | Edmonton Oilers | Tripping | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Justin Schultz | Edmonton Oilers | Tripping | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Keith Aulie | Edmonton Oilers | Fighting (maj) | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Mark Arcobello | Edmonton Oilers | Slashing | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Benoit Pouliot | Edmonton Oilers | Roughing | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
David Perron | Edmonton Oilers | Embellishment | 11/13/2014 | Ottawa Senators | Home | Marc Joannette, Mark Lemelin
Boyd Gordon | Edmonton Oilers | Hi-sticking | 11/16/2014 | Arizona Coyotes | Home | Tom Kowal, Brad Meier
Ryan Nugent-Hopkins | Edmonton Oilers | Hooking | 11/16/2014 | Arizona Coyotes | Home | Tom Kowal, Brad Meier
Ben Scrivens | Edmonton Oilers | Delaying Game-Puck over glass | 11/16/2014 | Arizona Coyotes | Home | Tom Kowal, Brad Meier
