Mark Borowiecki | Ottawa Senators | Interference | 10/09/2014 | Nashville Predators | Away | Kelly Sutherland, Dave Lewis
David Legwand | Ottawa Senators | Tripping | 10/09/2014 | Nashville Predators | Away | Kelly Sutherland, Dave Lewis
Jared Cowen | Ottawa Senators | Interference | 10/09/2014 | Nashville Predators | Away | Kelly Sutherland, Dave Lewis
David Legwand | Ottawa Senators | Holding the stick | 10/09/2014 | Nashville Predators | Away | Kelly Sutherland, Dave Lewis
Eric Gryba | Ottawa Senators | Tripping | 10/11/2014 | Tampa Bay Lightning | Away | Chris Rooney, Kyle Rehman
David Legwand | Ottawa Senators | Tripping | 10/11/2014 | Tampa Bay Lightning | Away | Chris Rooney, Kyle Rehman
Eric Gryba | Ottawa Senators | Roughing | 10/11/2014 | Tampa Bay Lightning | Away | Chris Rooney, Kyle Rehman
Alex Chiasson | Ottawa Senators | Slashing | 10/11/2014 | Tampa Bay Lightning | Away | Chris Rooney, Kyle Rehman
Alex Chiasson | Ottawa Senators | Holding | 10/13/2014 | Florida Panthers | Away | Chris Rooney, Ian Walsh
Eric Gryba | Ottawa Senators | Cross checking | 10/13/2014 | Florida Panthers | Away | Chris Rooney, Ian Walsh
Patrick Wiercioch | Ottawa Senators | Hi-sticking | 10/13/2014 | Florida Panthers | Away | Chris Rooney, Ian Walsh
Bobby Ryan | Ottawa Senators | Embellishment | 10/13/2014 | Florida Panthers | Away | Chris Rooney, Ian Walsh
Eric Gryba | Ottawa Senators | Holding | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Mark Borowiecki | Ottawa Senators | Roughing | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Mark Borowiecki | Ottawa Senators | Roughing | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Eric Gryba | Ottawa Senators | Holding the stick | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Chris Neil | Ottawa Senators | Fighting (maj) | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Mika Zibanejad | Ottawa Senators | Holding | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Mark Stone | Ottawa Senators | Tripping | 10/16/2014 | Colorado Avalanche | Home | Dan O'Rourke, Jon McIsaac
Bobby Ryan | Ottawa Senators | Hi-sticking | 10/18/2014 | Columbus Blue Jackets | Home | Graham Skilliter, Marc Joannette
Kyle Turris | Ottawa Senators | Roughing | 10/18/2014 | Columbus Blue Jackets | Home | Graham Skilliter, Marc Joannette
Kyle Turris | Ottawa Senators | Hooking | 10/18/2014 | Columbus Blue Jackets | Home | Graham Skilliter, Marc Joannette
Zack Smith | Ottawa Senators | Hooking | 10/18/2014 | Columbus Blue Jackets | Home | Graham Skilliter, Marc Joannette
Mark Borowiecki | Ottawa Senators | Roughing | 10/18/2014 | Columbus Blue Jackets | Home | Graham Skilliter, Marc Joannette
Curtis Lazar | Ottawa Senators | Tripping | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Mark Borowiecki | Ottawa Senators | Holding | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Chris Phillips | Ottawa Senators | Unsportsmanlike conduct | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Chris Phillips | Ottawa Senators | Roughing | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Patrick Wiercioch | Ottawa Senators | Tripping | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Clarke MacArthur | Ottawa Senators | Hi-sticking | 10/25/2014 | New Jersey Devils | Home | Wes McCauley, Gord Dwyer
Patrick Wiercioch | Ottawa Senators | Holding | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Alex Chiasson | Ottawa Senators | Hooking | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Zack Smith | Ottawa Senators | Roughing | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Mike Hoffman | Ottawa Senators | Roughing | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Chris Phillips | Ottawa Senators | Hooking | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Mark Borowiecki | Ottawa Senators | Holding | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Chris Phillips | Ottawa Senators | Interference | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
Mike Hoffman | Ottawa Senators | Too many men/ice - bench | 10/26/2014 | Chicago Blackhawks | Away | Eric Furlatt, Steve Kozari
