Brandon Kozun | Toronto Maple Leafs | Tripping | 10/08/2014 | Montreal Canadiens | Home | Paul Devorski, Tom Kowal
Alexei Emelin | Montreal Canadiens | Interference | 10/08/2014 | Toronto Maple Leafs | Away | Paul Devorski, Tom Kowal
Daniel Winnik | Toronto Maple Leafs | Closing hand on puck | 10/08/2014 | Montreal Canadiens | Home | Paul Devorski, Tom Kowal
Tom Gilbert | Montreal Canadiens | Hi stick - double minor | 10/08/2014 | Toronto Maple Leafs | Away | Paul Devorski, Tom Kowal
Zac Rinaldo | Philadelphia Flyers | Roughing | 10/08/2014 | Boston Bruins | Away | Rob Martell, Eric Furlatt
Dennis Seidenberg | Boston Bruins | Slashing | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Bobby Robins | Boston Bruins | Fighting (maj) | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Luke Schenn | Philadelphia Flyers | Fighting (maj) | 10/08/2014 | Boston Bruins | Away | Rob Martell, Eric Furlatt
Bobby Robins | Boston Bruins | Charging | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Luke Schenn | Philadelphia Flyers | Roughing | 10/08/2014 | Boston Bruins | Away | Rob Martell, Eric Furlatt
Loui Eriksson | Boston Bruins | Tripping | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Patrice Bergeron | Boston Bruins | Holding | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Zac Rinaldo | Philadelphia Flyers | Slashing | 10/08/2014 | Boston Bruins | Away | Rob Martell, Eric Furlatt
Brad Marchand | Boston Bruins | Elbowing | 10/08/2014 | Philadelphia Flyers | Home | Rob Martell, Eric Furlatt
Kevin Bieksa | Vancouver Canucks | Interference | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Chris Higgins | Vancouver Canucks | Delaying Game-Puck over glass | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Paul Byron | Calgary Flames | Hooking | 10/08/2014 | Vancouver Canucks | Home | Tim Peel, Ghislain Hebert
Mason Raymond | Calgary Flames | Tripping | 10/08/2014 | Vancouver Canucks | Home | Tim Peel, Ghislain Hebert
Zack Kassian | Vancouver Canucks | Interference | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Brad Richardson | Vancouver Canucks | Hi-sticking | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Curtis Glencross | Calgary Flames | Hi-sticking | 10/08/2014 | Vancouver Canucks | Home | Tim Peel, Ghislain Hebert
Kevin Bieksa | Vancouver Canucks | Roughing | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Deryk Engelland | Calgary Flames | Roughing | 10/08/2014 | Vancouver Canucks | Home | Tim Peel, Ghislain Hebert
Mikael Backlund | Calgary Flames | Roughing | 10/08/2014 | Vancouver Canucks | Home | Tim Peel, Ghislain Hebert
Alexandre Burrows | Vancouver Canucks | Roughing | 10/08/2014 | Calgary Flames | Away | Tim Peel, Ghislain Hebert
Patrick Marleau | SJ Sharks | Interference | 10/08/2014 | LA Kings | Away | Dan O'Rourke, Dan O'Halloran
Kyle Clifford | LA Kings | Fighting (maj) | 10/08/2014 | SJ Sharks | Home | Dan O'Rourke, Dan O'Halloran
Mike Brown | SJ Sharks | Fighting (maj) | 10/08/2014 | LA Kings | Away | Dan O'Rourke, Dan O'Halloran
Jarret Stoll | LA Kings | Slashing | 10/08/2014 | SJ Sharks | Home | Dan O'Rourke, Dan O'Halloran
Drew Doughty | LA Kings | Boarding | 10/08/2014 | SJ Sharks | Home | Dan O'Rourke, Dan O'Halloran
Kyle Clifford | LA Kings | Tripping | 10/08/2014 | SJ Sharks | Home | Dan O'Rourke, Dan O'Halloran
Mike Richards | LA Kings | Boarding | 10/08/2014 | SJ Sharks | Home | Dan O'Rourke, Dan O'Halloran
